landmark_id,u,v,X,Y,Z
0,1120,391,0.2817642,0.045223083,1.1213614
1,1101,304,0.2413024,-0.0065001035,1.0013903
2,1037,229,0.21178325,-0.04857056,1.0260332
3,981,182,0.18887904,-0.077040784,1.0678389
4,946,135,0.18817575,-0.11630498,1.1943667
5,949,297,0.18610567,-0.011994349,1.1692462
6,877,267,0.14562675,-0.031990126,1.2093258
7,830,249,0.13342029,-0.05046377,1.3993495
8,786,237,0.09511866,-0.05664427,1.3313115
9,934,359,0.17700551,0.027070297,1.171486
10,848,360,0.09731009,0.021941958,0.92794496
11,794,363,0.06907144,0.023223,0.91180277
12,750,369,0.04705986,0.025746237,0.9037178
13,945,418,0.18583915,0.06488811,1.1828158
14,866,433,0.16359922,0.09013191,1.426553
15,817,436,0.13112661,0.09518687,1.4854633
16,774,440,0.06379143,0.065469004,0.9836714
17,975,469,0.20154071,0.095868334,1.1633147
18,920,497,0.117943905,0.07999839,0.8215617
19,881,513,0.093615696,0.081007354,0.7637582
20,843,525,0.07760909,0.0854516,0.75996155
